"Assessed","Assessor","question1","question2","dimension","answer"
"Stacey-Anne Greenig","Laureen Jagtiani"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","Yes"
"Stacey-Anne Greenig","Laureen Jagtiani"," ","Up to 3 things the person should improve","",""
"Stacey-Anne Greenig","Laureen Jagtiani"," ","Up to 3 things the person should keep doing","","Your upskilling is great"
"Stacey-Anne Greenig","Laureen Jagtiani"," ","Spaceholder",""," "
"Stacey-Anne Greenig","Laureen Jagtiani"," ","Spaceholder",""," "
"Stacey-Anne Greenig","Laureen Jagtiani"," ","Spaceholder","",""
"Stacey-Anne Greenig","Laureen Jagtiani"," ","Your relationship to the person being assessed","","Peer"
"Stacey-Anne Greenig","Laureen Jagtiani","1. This person proactively works on solutions."," ","Current Performance","2"
"Stacey-Anne Greenig","Laureen Jagtiani","1. This person proactively works on solutions."," ","Desired Performance",""
"Stacey-Anne Greenig","Laureen Jagtiani","2. This person makes the team more effective."," ","Current Performance","7"
"Stacey-Anne Greenig","Laureen Jagtiani","2. This person makes the team more effective."," ","Desired Performance",""
"Stacey-Anne Greenig","Laureen Jagtiani","3. This person delivers results that align with the project or team's needs."," ","Current Performance","4"
"Stacey-Anne Greenig","Laureen Jagtiani","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Stacey-Anne Greenig","Laureen Jagtiani","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","6"
"Stacey-Anne Greenig","Laureen Jagtiani","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Stacey-Anne Greenig","Laureen Jagtiani","5. On my next project I would like to work with this person again."," ","Current Performance","3"
"Stacey-Anne Greenig","Laureen Jagtiani","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Stacey-Anne Greenig","Marjiwra Clowe"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","Yes"
"Stacey-Anne Greenig","Marjiwra Clowe"," ","Up to 3 things the person should improve","","No improvements, awesome work"
"Stacey-Anne Greenig","Marjiwra Clowe"," ","Up to 3 things the person should keep doing","",""
"Stacey-Anne Greenig","Marjiwra Clowe"," ","Spaceholder","",""
"Stacey-Anne Greenig","Marjiwra Clowe"," ","Spaceholder",""," "
"Stacey-Anne Greenig","Marjiwra Clowe"," ","Spaceholder",""," "
"Stacey-Anne Greenig","Marjiwra Clowe"," ","Your relationship to the person being assessed","","Peer"
"Stacey-Anne Greenig","Marjiwra Clowe","1. This person proactively works on solutions."," ","Current Performance","6"
"Stacey-Anne Greenig","Marjiwra Clowe","1. This person proactively works on solutions."," ","Desired Performance",""
"Stacey-Anne Greenig","Marjiwra Clowe","2. This person makes the team more effective."," ","Current Performance","2"
"Stacey-Anne Greenig","Marjiwra Clowe","2. This person makes the team more effective."," ","Desired Performance",""
"Stacey-Anne Greenig","Marjiwra Clowe","3. This person delivers results that align with the project or team's needs."," ","Current Performance","6"
"Stacey-Anne Greenig","Marjiwra Clowe","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Stacey-Anne Greenig","Marjiwra Clowe","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","2"
"Stacey-Anne Greenig","Marjiwra Clowe","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Stacey-Anne Greenig","Marjiwra Clowe","5. On my next project I would like to work with this person again."," ","Current Performance","2"
