"Assessed","Assessor","question1","question2","dimension","answer"
"Kenna Strelec","Deanna Chopp"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","Yes"
"Kenna Strelec","Deanna Chopp"," ","Up to 3 things the person should improve","","Align more with team"
"Kenna Strelec","Deanna Chopp"," ","Up to 3 things the person should keep doing","","I really like how you set up meetings"
"Kenna Strelec","Deanna Chopp"," ","Spaceholder","",""
"Kenna Strelec","Deanna Chopp"," ","Spaceholder",""," "
"Kenna Strelec","Deanna Chopp"," ","Spaceholder",""," "
"Kenna Strelec","Deanna Chopp"," ","Your relationship to the person being assessed","","Peer"
"Kenna Strelec","Deanna Chopp","1. This person proactively works on solutions."," ","Current Performance","1"
"Kenna Strelec","Deanna Chopp","1. This person proactively works on solutions."," ","Desired Performance",""
"Kenna Strelec","Deanna Chopp","2. This person makes the team more effective."," ","Current Performance","1"
"Kenna Strelec","Deanna Chopp","2. This person makes the team more effective."," ","Desired Performance",""
"Kenna Strelec","Deanna Chopp","3. This person delivers results that align with the project or team's needs."," ","Current Performance","4"
"Kenna Strelec","Deanna Chopp","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Kenna Strelec","Deanna Chopp","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","6"
"Kenna Strelec","Deanna Chopp","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Kenna Strelec","Deanna Chopp","5. On my next project I would like to work with this person again."," ","Current Performance","4"
"Kenna Strelec","Deanna Chopp","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Kenna Strelec","Sadiah Deigado"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","No"
"Kenna Strelec","Sadiah Deigado"," ","Up to 3 things the person should improve","","Align more with team"
"Kenna Strelec","Sadiah Deigado"," ","Up to 3 things the person should keep doing","","Keep on working the way you do!"
"Kenna Strelec","Sadiah Deigado"," ","Spaceholder","",""
"Kenna Strelec","Sadiah Deigado"," ","Spaceholder","",""
"Kenna Strelec","Sadiah Deigado"," ","Spaceholder","",""
"Kenna Strelec","Sadiah Deigado"," ","Your relationship to the person being assessed","","Peer"
"Kenna Strelec","Sadiah Deigado","1. This person proactively works on solutions."," ","Current Performance","4"
"Kenna Strelec","Sadiah Deigado","1. This person proactively works on solutions."," ","Desired Performance",""
"Kenna Strelec","Sadiah Deigado","2. This person makes the team more effective."," ","Current Performance","5"
"Kenna Strelec","Sadiah Deigado","2. This person makes the team more effective."," ","Desired Performance",""
"Kenna Strelec","Sadiah Deigado","3. This person delivers results that align with the project or team's needs."," ","Current Performance","3"
"Kenna Strelec","Sadiah Deigado","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Kenna Strelec","Sadiah Deigado","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","3"
"Kenna Strelec","Sadiah Deigado","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Kenna Strelec","Sadiah Deigado","5. On my next project I would like to work with this person again."," ","Current Performance","4"
"Kenna Strelec","Sadiah Deigado","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Kenna Strelec","Anne-Maree Koeber"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","Yes"
"Kenna Strelec","Anne-Maree Koeber"," ","Up to 3 things the person should improve","","Align more with team"
"Kenna Strelec","Anne-Maree Koeber"," ","Up to 3 things the person should keep doing","",""
"Kenna Strelec","Anne-Maree Koeber"," ","Spaceholder",""," "
"Kenna Strelec","Anne-Maree Koeber"," ","Spaceholder","",""
"Kenna Strelec","Anne-Maree Koeber"," ","Spaceholder","",""
"Kenna Strelec","Anne-Maree Koeber"," ","Your relationship to the person being assessed","","Peer"
"Kenna Strelec","Anne-Maree Koeber","1. This person proactively works on solutions."," ","Current Performance","4"
"Kenna Strelec","Anne-Maree Koeber","1. This person proactively works on solutions."," ","Desired Performance",""
"Kenna Strelec","Anne-Maree Koeber","2. This person makes the team more effective."," ","Current Performance","6"
"Kenna Strelec","Anne-Maree Koeber","2. This person makes the team more effective."," ","Desired Performance",""
"Kenna Strelec","Anne-Maree Koeber","3. This person delivers results that align with the project or team's needs."," ","Current Performance","3"
"Kenna Strelec","Anne-Maree Koeber","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Kenna Strelec","Anne-Maree Koeber","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","1"
"Kenna Strelec","Anne-Maree Koeber","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Kenna Strelec","Anne-Maree Koeber","5. On my next project I would like to work with this person again."," ","Current Performance","4"
"Kenna Strelec","Anne-Maree Koeber","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Kenna Strelec","Jordi Delso"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","No"
"Kenna Strelec","Jordi Delso"," ","Up to 3 things the person should improve","",""
"Kenna Strelec","Jordi Delso"," ","Up to 3 things the person should keep doing","","Data-analysis is great!"
"Kenna Strelec","Jordi Delso"," ","Spaceholder",""," "
"Kenna Strelec","Jordi Delso"," ","Spaceholder",""," "
"Kenna Strelec","Jordi Delso"," ","Spaceholder","",""
"Kenna Strelec","Jordi Delso"," ","Your relationship to the person being assessed","","Peer"
"Kenna Strelec","Jordi Delso","1. This person proactively works on solutions."," ","Current Performance","5"
"Kenna Strelec","Jordi Delso","1. This person proactively works on solutions."," ","Desired Performance",""
"Kenna Strelec","Jordi Delso","2. This person makes the team more effective."," ","Current Performance","3"
"Kenna Strelec","Jordi Delso","2. This person makes the team more effective."," ","Desired Performance",""
